"MTU (UTC)","Generation - Solar [MW] Day Ahead/ BZN|DK1","Generation - Solar [MW] Intraday / BZN|DK1","Generation - Solar [MW] Current / BZN|DK1","Generation - Wind Offshore [MW] Day Ahead/ BZN|DK1","Generation - Wind Offshore [MW] Intraday / BZN|DK1","Generation - Wind Offshore [MW] Current / BZN|DK1","Generation - Wind Onshore [MW] Day Ahead/ BZN|DK1","Generation - Wind Onshore [MW] Intraday / BZN|DK1","Generation - Wind Onshore [MW] Current / BZN|DK1"
"11.03.2023 11:00 - 11.03.2023 12:00","562","534","542","733","749","735","1850","1615","1082"
"11.03.2023 12:00 - 11.03.2023 13:00","576","467","535","789","808","625","2092","1883","1310"
"11.03.2023 13:00 - 11.03.2023 14:00","530","401","499","896","874","549","2197","2120","1494"
"11.03.2023 14:00 - 11.03.2023 15:00","403","294","448","932","901","542","2276","2253","1883"
"11.03.2023 15:00 - 11.03.2023 16:00","233","209","212","970","961","685","2302","2325","2130"
"11.03.2023 16:00 - 11.03.2023 17:00","34","33","39","1005","1030","874","2164","2254","1976"
"11.03.2023 17:00 - 11.03.2023 18:00","1","1","13","976","1017","1025","1840","1979","1836"
"11.03.2023 18:00 - 11.03.2023 19:00","0","0","0","994","1018","1005","1767","1915","1861"
"11.03.2023 19:00 - 11.03.2023 20:00","0","0","0","1002","1029","991","1795","1887","1941"
"11.03.2023 20:00 - 11.03.2023 21:00","0","0","0","919","980","958","1793","1926","1817"
"11.03.2023 21:00 - 11.03.2023 22:00","0","0","1","900","919","910","1764","1880","1688"
"11.03.2023 22:00 - 11.03.2023 23:00","0","0","0","944","867","798","1680","1788","1681"
"11.03.2023 23:00 - 12.03.2023 00:00","0","N/A","0","703","N/A","799","1548","N/A","1417"
"12.03.2023 00:00 - 12.03.2023 01:00","0","N/A","0","615","N/A","617","1374","N/A","1189"
"12.03.2023 01:00 - 12.03.2023 02:00","0","N/A","0","499","N/A","495","1155","N/A","903"
"12.03.2023 02:00 - 12.03.2023 03:00","0","N/A","0","425","N/A","431","933","N/A","661"
"12.03.2023 03:00 - 12.03.2023 04:00","0","N/A","0","384","N/A","409","712","N/A","452"
"12.03.2023 04:00 - 12.03.2023 05:00","0","N/A","0","354","N/A","387","474","N/A","295"
"12.03.2023 05:00 - 12.03.2023 06:00","2","N/A","2","329","N/A","379","282","N/A","141"
"12.03.2023 06:00 - 12.03.2023 07:00","72","N/A","74","327","N/A","443","170","N/A","109"
"12.03.2023 07:00 - 12.03.2023 08:00","227","227","227","318","479","478","141","123","123"
"12.03.2023 08:00 - 12.03.2023 09:00","367","374","334","355","541","605","156","209","205"
"12.03.2023 09:00 - 12.03.2023 10:00","442","459","501","449","615","618","214","344","289"
"12.03.2023 10:00 - 12.03.2023 11:00","465","437","590","486","682","475","288","527","586"
"12.03.2023 11:00 - 12.03.2023 12:00","435","362","386","510","724","683","400","747","837"
"12.03.2023 12:00 - 12.03.2023 13:00","336","288","277","566","754","741","454","946","940"
"12.03.2023 13:00 - 12.03.2023 14:00","219","217","267","595","801","921","531","1123","1217"
"12.03.2023 14:00 - 12.03.2023 15:00","133","136","108","622","841","875","580","1316","1206"
"12.03.2023 15:00 - 12.03.2023 16:00","70","71","52","663","922","881","672","1509","1368"
"12.03.2023 16:00 - 12.03.2023 17:00","12","11","19","701","942","982","800","1640","1392"
"12.03.2023 17:00 - 12.03.2023 18:00","0","0","0","675","872","947","921","1639","1496"
"12.03.2023 18:00 - 12.03.2023 19:00","0","0","0","603","915","1012","1133","1655","1875"
"12.03.2023 19:00 - 12.03.2023 20:00","0","0","0","575","959","1044","1192","1560","1756"
"12.03.2023 20:00 - 12.03.2023 21:00","0","0","0","588","949","1099","1288","1577","1797"
"12.03.2023 21:00 - 12.03.2023 22:00","0","0","1","654","952","1104","1287","1539","1826"
"12.03.2023 22:00 - 12.03.2023 23:00","0","0","0","753","958","1099","1289","1403","1728"
"12.03.2023 23:00 - 13.03.2023 00:00","0","N/A","0","938","N/A","1054","1440","N/A","1636"
"13.03.2023 00:00 - 13.03.2023 01:00","0","N/A","0","923","N/A","1066","1422","N/A","1768"
"13.03.2023 01:00 - 13.03.2023 02:00","0","N/A","0","911","N/A","1051","1442","N/A","1698"
"13.03.2023 02:00 - 13.03.2023 03:00","0","N/A","0","922","N/A","1045","1498","N/A","1775"
"13.03.2023 03:00 - 13.03.2023 04:00","0","N/A","0","949","N/A","1045","1561","N/A","1810"
"13.03.2023 04:00 - 13.03.2023 05:00","0","N/A","0","987","N/A","1041","1615","N/A","1895"
"13.03.2023 05:00 - 13.03.2023 06:00","0","N/A","0","1002","N/A","1114","1586","N/A","1963"
"13.03.2023 06:00 - 13.03.2023 07:00","8","N/A","15","1048","N/A","1137","1610","N/A","2195"
"13.03.2023 07:00 - 13.03.2023 08:00","26","29","29","1050","1123","1122","2022","2777","2777"
"13.03.2023 08:00 - 13.03.2023 09:00","43","43","49","1036","1094","1099","2320","3054","2792"
"13.03.2023 09:00 - 13.03.2023 10:00","55","55","51","1065","1106","1126","2425","3003","2899"
"13.03.2023 10:00 - 13.03.2023 11:00","62","62","89","1091","1125","1070","2660","3053","3208"
"13.03.2023 11:00 - 13.03.2023 12:00","65","111","225","1081","1116","1036","2618","2839","3180"
"13.03.2023 12:00 - 13.03.2023 13:00","85","168","362","1065","1107","1017","2609","2709","3250"
"13.03.2023 13:00 - 13.03.2023 14:00","90","136","288","1058","1090","699","2624","2659","3319"
"13.03.2023 14:00 - 13.03.2023 15:00","68","58","109","1066","1072","414","2644","2687","3173"
"13.03.2023 15:00 - 13.03.2023 16:00","31","28","50","1084","1069","1025","2700","2775","3305"
"13.03.2023 16:00 - 13.03.2023 17:00","13","13","17","1091","1070","1067","2677","2805","3366"
"13.03.2023 17:00 - 13.03.2023 18:00","0","0","2","1072","1055","1100","2401","2551","3154"
"13.03.2023 18:00 - 13.03.2023 19:00","0","0","1","1079","1064","1067","2368","2497","3446"
"13.03.2023 19:00 - 13.03.2023 20:00","0","0","1","1081","1083","1079","2512","2550","3346"
"13.03.2023 20:00 - 13.03.2023 21:00","0","0","1","1048","1066","1098","2675","2672","3313"
"13.03.2023 21:00 - 13.03.2023 22:00","0","0","1","1043","1059","1037","2732","2676","3349"
"13.03.2023 22:00 - 13.03.2023 23:00","0","0","0","1065","1081","1044","2714","2694","3313"
"13.03.2023 23:00 - 14.03.2023 00:00","0","N/A","0","1103","N/A","1119","2841","N/A","2926"
"14.03.2023 00:00 - 14.03.2023 01:00","0","N/A","0","1109","N/A","1120","2496","N/A","2525"
"14.03.2023 01:00 - 14.03.2023 02:00","0","N/A","0","1022","N/A","1073","2079","N/A","2099"
"14.03.2023 02:00 - 14.03.2023 03:00","0","N/A","0","850","N/A","1027","1798","N/A","1719"
"14.03.2023 03:00 - 14.03.2023 04:00","0","N/A","0","813","N/A","1006","1651","N/A","1789"
"14.03.2023 04:00 - 14.03.2023 05:00","0","N/A","0","851","N/A","1009","1565","N/A","1938"
"14.03.2023 05:00 - 14.03.2023 06:00","1","N/A","1","853","N/A","808","1455","N/A","1763"
"14.03.2023 06:00 - 14.03.2023 07:00","39","N/A","33","881","N/A","1039","1429","N/A","1640"
"14.03.2023 07:00 - 14.03.2023 08:00","161","101","101","921","1007","985","1775","2115","2115"
"14.03.2023 08:00 - 14.03.2023 09:00","376","253","260","970","992","1080","2078","2447","2069"
"14.03.2023 09:00 - 14.03.2023 10:00","621","487","551","1022","1026","1107","2223","2529","2371"
"14.03.2023 10:00 - 14.03.2023 11:00","756","696","777","1065","1084","1128","2488","2687","2707"
"14.03.2023 11:00 - 14.03.2023 12:00","776","741","777","1061","1093","1057","2527","2652","2605"
"14.03.2023 12:00 - 14.03.2023 13:00","723","704","765","1057","1108","979","2535","2593","2704"
"14.03.2023 13:00 - 14.03.2023 14:00","586","592","663","1045","1099","1116","2520","2541","3016"
"14.03.2023 14:00 - 14.03.2023 15:00","457","431","489","1055","1087","1130","2476","2504","2888"
"14.03.2023 15:00 - 14.03.2023 16:00","283","283","304","1075","1070","1121","2429","2455","2570"
"14.03.2023 16:00 - 14.03.2023 17:00","101","100","112","1081","1039","1109","2286","2260","1968"
"14.03.2023 17:00 - 14.03.2023 18:00","3","3","6","1041","1018","1015","1938","1866","1364"
"14.03.2023 18:00 - 14.03.2023 19:00","0","0","0","1020","1047","930","1809","1820","1846"
"14.03.2023 19:00 - 14.03.2023 20:00","0","0","0","1017","1046","953","1889","1964","2112"
"14.03.2023 20:00 - 14.03.2023 21:00","0","0","0","1009","1025","919","1838","2066","2057"
"14.03.2023 21:00 - 14.03.2023 22:00","0","0","0","971","1024","862","1669","1930","1860"
"14.03.2023 22:00 - 14.03.2023 23:00","0","0","0","1003","1042","1086","1589","1766","1692"
"14.03.2023 23:00 - 15.03.2023 00:00","0","N/A","0","1031","N/A","1120","1581","N/A","1602"
"15.03.2023 00:00 - 15.03.2023 01:00","0","N/A","0","1022","N/A","1015","1574","N/A","1440"
"15.03.2023 01:00 - 15.03.2023 02:00","0","N/A","0","999","N/A","1017","1519","N/A","1600"
"15.03.2023 02:00 - 15.03.2023 03:00","0","N/A","0","988","N/A","996","1453","N/A","1553"
"15.03.2023 03:00 - 15.03.2023 04:00","0","N/A","0","977","N/A","1074","1388","N/A","1268"
"15.03.2023 04:00 - 15.03.2023 05:00","0","N/A","0","946","N/A","1069","1284","N/A","1448"
"15.03.2023 05:00 - 15.03.2023 06:00","3","N/A","3","930","N/A","955","1123","N/A","1053"
"15.03.2023 06:00 - 15.03.2023 07:00","94","N/A","105","987","N/A","937","1019","N/A","1225"
"15.03.2023 07:00 - 15.03.2023 08:00","290","318","318","959","1055","1062","1232","1283","1283"
"15.03.2023 08:00 - 15.03.2023 09:00","489","494","412","925","1016","962","1496","1434","1227"
"15.03.2023 09:00 - 15.03.2023 10:00","605","613","685","931","990","1031","1577","1536","1382"
"15.03.2023 10:00 - 15.03.2023 11:00","590","660","858","927","896","1042","1734","1650","1707"
"15.03.2023 11:00 - 15.03.2023 12:00","511","654","766","872","853","802","1754","1630","2013"
"15.03.2023 12:00 - 15.03.2023 13:00","386","629","586","849","914","902","1784","1721","1968"
"15.03.2023 13:00 - 15.03.2023 14:00","272","481","403","865","875","908","1751","1829","1876"
"15.03.2023 14:00 - 15.03.2023 15:00","258","322","316","858","856","931","1703","1909","1988"
"15.03.2023 15:00 - 15.03.2023 16:00","202","172","190","833","846","1057","1701","1987","2039"
"15.03.2023 16:00 - 15.03.2023 17:00","82","68","77","844","827","1049","1596","1882","1736"
"15.03.2023 17:00 - 15.03.2023 18:00","3","2","6","810","800","738","1269","1489","1832"
"15.03.2023 18:00 - 15.03.2023 19:00","0","0","1","780","779","804","1055","1245","1732"
"15.03.2023 19:00 - 15.03.2023 20:00","0","0","1","722","751","702","946","1064","1418"
"15.03.2023 20:00 - 15.03.2023 21:00","0","0","1","594","655","592","855","903","912"
"15.03.2023 21:00 - 15.03.2023 22:00","0","0","0","490","475","274","724","679","569"
"15.03.2023 22:00 - 15.03.2023 23:00","0","0","0","345","300","133","563","456","316"
"15.03.2023 23:00 - 16.03.2023 00:00","0","N/A","0","203","N/A","166","343","N/A","158"
"16.03.2023 00:00 - 16.03.2023 01:00","0","N/A","0","161","N/A","168","255","N/A","113"
"16.03.2023 01:00 - 16.03.2023 02:00","0","N/A","0","145","N/A","184","227","N/A","118"
"16.03.2023 02:00 - 16.03.2023 03:00","0","N/A","0","180","N/A","287","260","N/A","242"
"16.03.2023 03:00 - 16.03.2023 04:00","0","N/A","0","277","N/A","406","333","N/A","483"
"16.03.2023 04:00 - 16.03.2023 05:00","0","N/A","0","395","N/A","574","435","N/A","651"
"16.03.2023 05:00 - 16.03.2023 06:00","2","N/A","2","483","N/A","716","514","N/A","828"
"16.03.2023 06:00 - 16.03.2023 07:00","50","N/A","50","569","N/A","755","563","N/A","1075"
"16.03.2023 07:00 - 16.03.2023 08:00","126","114","114","650","785","787","744","1449","1449"
"16.03.2023 08:00 - 16.03.2023 09:00","178","150","158","716","830","812","948","1676","1631"
"16.03.2023 09:00 - 16.03.2023 10:00","202","180","288","809","894","850","1167","1836","1917"
"16.03.2023 10:00 - 16.03.2023 11:00","194","194","325","871","946","867","1456","2124","2137"
"16.03.2023 11:00 - 16.03.2023 12:00","171","191","358","909","992","917","1755","2368","2377"
"16.03.2023 12:00 - 16.03.2023 13:00","137","165","270","945","1056","942","1992","2564","2683"
"16.03.2023 13:00 - 16.03.2023 14:00","98","120","211","979","1074","1010","2219","2731","2892"
"16.03.2023 14:00 - 16.03.2023 15:00","61","77","132","1029","1088","1065","2361","2882","2998"
"16.03.2023 15:00 - 16.03.2023 16:00","38","51","66","1070","1105","1099","2524","3019","3260"
"16.03.2023 16:00 - 16.03.2023 17:00","15","21","22","1087","1116","1122","2594","3055","3319"
"16.03.2023 17:00 - 16.03.2023 18:00","1","1","1","1070","1094","1103","2400","2774","3071"
"16.03.2023 18:00 - 16.03.2023 19:00","0","0","0","1075","1089","1117","2398","2674","3333"
"16.03.2023 19:00 - 16.03.2023 20:00","0","0","0","1073","1087","1109","2437","2625","3089"
"16.03.2023 20:00 - 16.03.2023 21:00","0","0","0","1052","1071","1098","2521","2660","3108"
"16.03.2023 21:00 - 16.03.2023 22:00","0","0","0","1048","1060","1089","2511","2574","2973"
"16.03.2023 22:00 - 16.03.2023 23:00","0","0","0","1069","1073","1086","2447","2470","2553"
"16.03.2023 23:00 - 17.03.2023 00:00","0","N/A","0","1079","N/A","1100","2757","N/A","2789"
"17.03.2023 00:00 - 17.03.2023 01:00","0","N/A","0","1076","N/A","1097","2661","N/A","2659"
"17.03.2023 01:00 - 17.03.2023 02:00","0","N/A","0","1046","N/A","1079","2536","N/A","2530"
"17.03.2023 02:00 - 17.03.2023 03:00","0","N/A","0","1027","N/A","1088","2441","N/A","2455"
"17.03.2023 03:00 - 17.03.2023 04:00","0","N/A","0","1025","N/A","1086","2332","N/A","2322"
"17.03.2023 04:00 - 17.03.2023 05:00","0","N/A","0","1026","N/A","1102","2154","N/A","2251"
"17.03.2023 05:00 - 17.03.2023 06:00","1","N/A","1","1018","N/A","1088","1817","N/A","1985"
"17.03.2023 06:00 - 17.03.2023 07:00","34","N/A","30","1032","N/A","1089","1545","N/A","1960"
"17.03.2023 07:00 - 17.03.2023 08:00","71","69","69","994","1048","1055","1603","2211","2211"
"17.03.2023 08:00 - 17.03.2023 09:00","114","113","157","930","990","1029","1557","2152","1856"
"17.03.2023 09:00 - 17.03.2023 10:00","184","180","359","904","966","1024","1368","1900","1468"
"17.03.2023 10:00 - 17.03.2023 11:00","202","210","339","846","940","985","1253","1737","1385"
"17.03.2023 11:00 - 17.03.2023 12:00","207","168","174","793","868","815","1014","1473","1177"
"17.03.2023 12:00 - 17.03.2023 13:00","186","123","289","737","785","837","884","1287","1120"
"17.03.2023 13:00 - 17.03.2023 14:00","146","105","183","657","697","707","801","1136","974"
"17.03.2023 14:00 - 17.03.2023 15:00","110","94","122","588","570","480","737","1007","874"
"17.03.2023 15:00 - 17.03.2023 16:00","73","67","95","561","484","546","703","905","792"
"17.03.2023 16:00 - 17.03.2023 17:00","30","30","46","554","462","519","650","779","663"
"17.03.2023 17:00 - 17.03.2023 18:00","2","2","4","523","409","398","544","600","600"
"17.03.2023 18:00 - 17.03.2023 19:00","0","0","0","531","355","500","513","485","577"
"17.03.2023 19:00 - 17.03.2023 20:00","0","0","0","520","324","468","569","421","491"
"17.03.2023 20:00 - 17.03.2023 21:00","0","0","0","485","258","419","602","403","361"
"17.03.2023 21:00 - 17.03.2023 22:00","0","0","0","441","189","361","573","353","305"
"17.03.2023 22:00 - 17.03.2023 23:00","0","0","0","361","139","351","493","239","231"
"17.03.2023 23:00 - 18.03.2023 00:00","0","N/A","0","155","N/A","219","305","N/A","213"
"18.03.2023 00:00 - 18.03.2023 01:00","0","N/A","0","79","N/A","114","243","N/A","122"
"18.03.2023 01:00 - 18.03.2023 02:00","0","N/A","0","62","N/A","111","183","N/A","77"
"18.03.2023 02:00 - 18.03.2023 03:00","0","N/A","0","54","N/A","76","155","N/A","69"
"18.03.2023 03:00 - 18.03.2023 04:00","0","N/A","0","59","N/A","36","126","N/A","73"
"18.03.2023 04:00 - 18.03.2023 05:00","0","N/A","0","46","N/A","19","93","N/A","54"
"18.03.2023 05:00 - 18.03.2023 06:00","1","N/A","2","28","N/A","79","72","N/A","33"
"18.03.2023 06:00 - 18.03.2023 07:00","34","N/A","42","24","N/A","26","64","N/A","20"
"18.03.2023 07:00 - 18.03.2023 08:00","91","88","88","24","8","10","74","24","24"
"18.03.2023 08:00 - 18.03.2023 09:00","162","126","133","30","12","21","83","30","21"
"18.03.2023 09:00 - 18.03.2023 10:00","237","199","206","37","13","31","95","33","16"
"18.03.2023 10:00 - 18.03.2023 11:00","282","255","275","39","15","7","100","45","26"
"18.03.2023 11:00 - 18.03.2023 12:00","287","258","228","34","18","7","137","63","30"
"18.03.2023 12:00 - 18.03.2023 13:00","284","267","308","36","20","51","161","80","36"
"18.03.2023 13:00 - 18.03.2023 14:00","254","258","282","62","25","17","171","98","46"
"18.03.2023 14:00 - 18.03.2023 15:00","176","207","178","78","41","16","183","106","88"
"18.03.2023 15:00 - 18.03.2023 16:00","97","129","136","62","52","19","170","109","59"
"18.03.2023 16:00 - 18.03.2023 17:00","36","46","49","58","47","49","140","101","30"
"18.03.2023 17:00 - 18.03.2023 18:00","2","2","6","62","46","54","120","88","23"
"18.03.2023 18:00 - 18.03.2023 19:00","0","0","0","71","60","123","122","75","27"
"18.03.2023 19:00 - 18.03.2023 20:00","0","0","0","91","69","91","137","74","37"
"18.03.2023 20:00 - 18.03.2023 21:00","0","0","0","122","70","103","172","90","56"
"18.03.2023 21:00 - 18.03.2023 22:00","0","0","0","156","81","58","193","103","61"
"18.03.2023 22:00 - 18.03.2023 23:00","0","0","0","196","111","121","204","110","68"
"18.03.2023 23:00 - 19.03.2023 00:00","0","N/A","0","127","N/A","168","107","N/A","88"
"19.03.2023 00:00 - 19.03.2023 01:00","0","N/A","0","167","N/A","264","125","N/A","104"
"19.03.2023 01:00 - 19.03.2023 02:00","0","N/A","0","233","N/A","352","139","N/A","141"
"19.03.2023 02:00 - 19.03.2023 03:00","0","N/A","0","304","N/A","381","179","N/A","221"
"19.03.2023 03:00 - 19.03.2023 04:00","0","N/A","0","381","N/A","410","247","N/A","260"
"19.03.2023 04:00 - 19.03.2023 05:00","0","N/A","0","385","N/A","496","336","N/A","341"
"19.03.2023 05:00 - 19.03.2023 06:00","2","N/A","4","364","N/A","431","387","N/A","379"
"19.03.2023 06:00 - 19.03.2023 07:00","38","N/A","64","328","N/A","435","384","N/A","381"
"19.03.2023 07:00 - 19.03.2023 08:00","85","138","138","343","449","443","422","478","478"
"19.03.2023 08:00 - 19.03.2023 09:00","117","190","150","338","361","262","429","474","351"
"19.03.2023 09:00 - 19.03.2023 10:00","136","235","177","421","314","262","403","426","274"
"19.03.2023 10:00 - 19.03.2023 11:00","166","233","242","499","349","248","381","401","234"
"19.03.2023 11:00 - 19.03.2023 12:00","205","193","198","420","351","179","386","368","269"
"19.03.2023 12:00 - 19.03.2023 13:00","212","188","250","321","242","175","398","363","304"
"19.03.2023 13:00 - 19.03.2023 14:00","183","181","215","334","258","250","396","363","289"
"19.03.2023 14:00 - 19.03.2023 15:00","140","165","166","309","266","280","385","354","281"
"19.03.2023 15:00 - 19.03.2023 16:00","89","110","112","305","283","243","369","339","310"
"19.03.2023 16:00 - 19.03.2023 17:00","32","43","31","298","243","263","347","314","300"
"19.03.2023 17:00 - 19.03.2023 18:00","2","2","5","327","211","292","315","288","322"
"19.03.2023 18:00 - 19.03.2023 19:00","0","0","0","316","211","284","319","311","453"
"19.03.2023 19:00 - 19.03.2023 20:00","0","0","0","334","198","358","335","338","459"
"19.03.2023 20:00 - 19.03.2023 21:00","0","0","0","382","200","328","383","376","501"
"19.03.2023 21:00 - 19.03.2023 22:00","0","0","0","406","224","279","439","408","537"
"19.03.2023 22:00 - 19.03.2023 23:00","0","0","0","442","298","415","523","459","602"
"19.03.2023 23:00 - 20.03.2023 00:00","0","N/A","0","476","N/A","643","638","N/A","727"
"20.03.2023 00:00 - 20.03.2023 01:00","0","N/A","0","536","N/A","632","687","N/A","824"
"20.03.2023 01:00 - 20.03.2023 02:00","0","N/A","0","529","N/A","415","698","N/A","878"
"20.03.2023 02:00 - 20.03.2023 03:00","0","N/A","0","533","N/A","497","734","N/A","891"
"20.03.2023 03:00 - 20.03.2023 04:00","0","N/A","0","543","N/A","455","779","N/A","875"
"20.03.2023 04:00 - 20.03.2023 05:00","0","N/A","0","509","N/A","505","790","N/A","957"
"20.03.2023 05:00 - 20.03.2023 06:00","1","N/A","2","410","N/A","364","716","N/A","993"
"20.03.2023 06:00 - 20.03.2023 07:00","25","N/A","37","367","N/A","399","654","N/A","766"
"20.03.2023 07:00 - 20.03.2023 08:00","64","76","76","323","286","289","747","897","897"
"20.03.2023 08:00 - 20.03.2023 09:00","128","126","114","296","217","286","828","978","912"
"20.03.2023 09:00 - 20.03.2023 10:00","256","237","317","313","235","275","884","1007","1050"
"20.03.2023 10:00 - 20.03.2023 11:00","379","401","418","314","273","330","984","1108","1238"
"20.03.2023 11:00 - 20.03.2023 12:00","437","490","423","293","291","300","1047","1163","1371"
"20.03.2023 12:00 - 20.03.2023 13:00","475","486","410","266","264","333","1069","1166","1369"
"20.03.2023 13:00 - 20.03.2023 14:00","450","464","356","337","314","321","1043","1135","1411"
"20.03.2023 14:00 - 20.03.2023 15:00","369","383","314","398","333","339","995","1053","1359"
"20.03.2023 15:00 - 20.03.2023 16:00","250","263","234","384","335","359","896","910","1219"
"20.03.2023 16:00 - 20.03.2023 17:00","89","96","89","322","261","294","697","669","937"
"20.03.2023 17:00 - 20.03.2023 18:00","3","3","10","229","234","317","436","413","573"
"20.03.2023 18:00 - 20.03.2023 19:00","0","0","1","215","227","332","316","304","456"
"20.03.2023 19:00 - 20.03.2023 20:00","0","0","0","182","203","263","287","263","338"
"20.03.2023 20:00 - 20.03.2023 21:00","0","0","0","183","191","206","235","227","290"
"20.03.2023 21:00 - 20.03.2023 22:00","0","0","0","167","182","168","181","191","258"
"20.03.2023 22:00 - 20.03.2023 23:00","0","0","0","120","135","164","145","153","196"
"20.03.2023 23:00 - 21.03.2023 00:00","0","N/A","0","132","N/A","140","210","N/A","159"
"21.03.2023 00:00 - 21.03.2023 01:00","0","N/A","0","117","N/A","56","184","N/A","103"
"21.03.2023 01:00 - 21.03.2023 02:00","0","N/A","0","108","N/A","38","180","N/A","94"
"21.03.2023 02:00 - 21.03.2023 03:00","0","N/A","0","117","N/A","55","199","N/A","95"
"21.03.2023 03:00 - 21.03.2023 04:00","0","N/A","0","160","N/A","104","220","N/A","114"
"21.03.2023 04:00 - 21.03.2023 05:00","0","N/A","0","245","N/A","121","245","N/A","114"
"21.03.2023 05:00 - 21.03.2023 06:00","4","N/A","4","316","N/A","167","266","N/A","124"
"21.03.2023 06:00 - 21.03.2023 07:00","41","N/A","50","365","N/A","238","293","N/A","157"
"21.03.2023 07:00 - 21.03.2023 08:00","85","104","104","409","285","284","405","245","245"
"21.03.2023 08:00 - 21.03.2023 09:00","93","126","141","517","449","398","538","378","303"
"21.03.2023 09:00 - 21.03.2023 10:00","75","116","186","612","539","437","645","485","349"
"21.03.2023 10:00 - 21.03.2023 11:00","64","90","229","734","606","453","817","636","458"
"21.03.2023 11:00 - 21.03.2023 12:00","66","67","223","797","646","505","941","747","582"
"21.03.2023 12:00 - 21.03.2023 13:00","64","64","208","801","667","614","1037","843","729"
"21.03.2023 13:00 - 21.03.2023 14:00","57","57","159","867","719","732","1127","914","836"
"21.03.2023 14:00 - 21.03.2023 15:00","46","45","108","932","793","831","1155","969","907"
"21.03.2023 15:00 - 21.03.2023 16:00","30","30","62","967","871","850","1194","1032","1077"
"21.03.2023 16:00 - 21.03.2023 17:00","12","12","22","959","915","899","1190","1079","1138"
"21.03.2023 17:00 - 21.03.2023 18:00","1","1","3","940","900","999","1110","1016","1127"
"21.03.2023 18:00 - 21.03.2023 19:00","0","0","0","977","953","981","1172","1072","1342"
"21.03.2023 19:00 - 21.03.2023 20:00","0","0","0","959","974","1039","1286","1139","1371"
"21.03.2023 20:00 - 21.03.2023 21:00","0","0","0","929","943","948","1374","1196","1381"
"21.03.2023 21:00 - 21.03.2023 22:00","0","0","0","970","931","815","1394","1186","1376"
"21.03.2023 22:00 - 21.03.2023 23:00","0","0","0","961","925","971","1376","1162","1357"
"21.03.2023 23:00 - 22.03.2023 00:00","0","N/A","0","971","N/A","1067","1258","N/A","1374"
"22.03.2023 00:00 - 22.03.2023 01:00","0","N/A","0","990","N/A","1086","1242","N/A","1327"
"22.03.2023 01:00 - 22.03.2023 02:00","0","N/A","0","964","N/A","946","1217","N/A","1370"
"22.03.2023 02:00 - 22.03.2023 03:00","0","N/A","0","923","N/A","1011","1230","N/A","1432"
"22.03.2023 03:00 - 22.03.2023 04:00","0","N/A","0","910","N/A","1062","1280","N/A","1400"
"22.03.2023 04:00 - 22.03.2023 05:00","0","N/A","0","927","N/A","1088","1347","N/A","1545"
"22.03.2023 05:00 - 22.03.2023 06:00","2","N/A","3","956","N/A","1090","1313","N/A","1550"
"22.03.2023 06:00 - 22.03.2023 07:00","20","N/A","29","1018","N/A","1101","1299","N/A","1842"
"22.03.2023 07:00 - 22.03.2023 08:00","41","50","50","1031","1102","1109","1647","2328","2328"
"22.03.2023 08:00 - 22.03.2023 09:00","53","51","108","1047","1096","1099","1983","2585","2371"
"22.03.2023 09:00 - 22.03.2023 10:00","58","58","173","1058","1095","1096","2141","2612","2318"
"22.03.2023 10:00 - 22.03.2023 11:00","64","64","205","1071","1100","1085","2449","2769","2698"
"22.03.2023 11:00 - 22.03.2023 12:00","66","66","235","1041","1065","1035","2472","2714","2832"
"22.03.2023 12:00 - 22.03.2023 13:00","64","64","175","1032","1052","1090","2488","2650","3138"
"22.03.2023 13:00 - 22.03.2023 14:00","71","57","112","1015","1032","1077","2529","2624","3135"
"22.03.2023 14:00 - 22.03.2023 15:00","148","59","101","1023","1038","1040","2487","2588","2751"
"22.03.2023 15:00 - 22.03.2023 16:00","189","87","104","1019","1032","1084","2380","2474","2860"
"22.03.2023 16:00 - 22.03.2023 17:00","88","49","79","996","1008","1090","2105","2184","2595"
"22.03.2023 17:00 - 22.03.2023 18:00","3","2","19","879","888","1059","1639","1704","2032"
"22.03.2023 18:00 - 22.03.2023 19:00","0","0","2","838","844","996","1400","1447","1926"
"22.03.2023 19:00 - 22.03.2023 20:00","0","0","1","861","858","904","1272","1295","1712"
"22.03.2023 20:00 - 22.03.2023 21:00","0","0","0","835","835","823","1203","1196","1551"
"22.03.2023 21:00 - 22.03.2023 22:00","0","0","0","851","851","822","1135","1067","1286"
"22.03.2023 22:00 - 22.03.2023 23:00","0","0","0","891","891","751","1108","971","1119"
"22.03.2023 23:00 - 23.03.2023 00:00","0","N/A","0","841","N/A","691","1153","N/A","1175"
"23.03.2023 00:00 - 23.03.2023 01:00","0","N/A","0","878","N/A","626","1160","N/A","1065"
"23.03.2023 01:00 - 23.03.2023 02:00","0","N/A","0","853","N/A","757","1207","N/A","997"
"23.03.2023 02:00 - 23.03.2023 03:00","0","N/A","0","796","N/A","817","1285","N/A","988"
"23.03.2023 03:00 - 23.03.2023 04:00","0","N/A","0","825","N/A","822","1360","N/A","1116"
"23.03.2023 04:00 - 23.03.2023 05:00","0","N/A","0","900","N/A","808","1459","N/A","1323"
"23.03.2023 05:00 - 23.03.2023 06:00","4","N/A","5","958","N/A","886","1456","N/A","1287"
"23.03.2023 06:00 - 23.03.2023 07:00","40","N/A","48","1034","N/A","1024","1452","N/A","1611"
