"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|DK2","22.07.2023 21:00 - 22.07.2023 22:00 (UTC)","202","n/e","n/e","n/e","45","74","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","41","297","111"
"BZN|DK2","22.07.2023 22:00 - 22.07.2023 23:00 (UTC)","153","n/e","n/e","n/e","43","71","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","42","280","105"
"BZN|DK2","22.07.2023 23:00 - 23.07.2023 00:00 (UTC)","31","n/e","n/e","n/e","44","71","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","42","252","136"
"BZN|DK2","23.07.2023 00:00 - 23.07.2023 01:00 (UTC)","15","n/e","n/e","n/e","44","71","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","42","185","135"
"BZN|DK2","23.07.2023 01:00 - 23.07.2023 02:00 (UTC)","10","n/e","n/e","n/e","44","70","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","42","385","149"
"BZN|DK2","23.07.2023 02:00 - 23.07.2023 03:00 (UTC)","9","n/e","n/e","n/e","44","70","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","0","43","520","159"
"BZN|DK2","23.07.2023 03:00 - 23.07.2023 04:00 (UTC)","9","n/e","n/e","n/e","44","70","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","3","42","486","150"
"BZN|DK2","23.07.2023 04:00 - 23.07.2023 05:00 (UTC)","9","n/e","n/e","n/e","44","70","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","20","42","425","143"
"BZN|DK2","23.07.2023 05:00 - 23.07.2023 06:00 (UTC)","9","n/e","n/e","n/e","45","71","14","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","61","43","344","139"
"BZN|DK2","23.07.2023 06:00 - 23.07.2023 07:00 (UTC)","8","n/e","n/e","n/e","48","76","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","101","43","141","157"
"BZN|DK2","23.07.2023 07:00 - 23.07.2023 08:00 (UTC)","5","n/e","n/e","n/e","47","75","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","112","44","295","163"
"BZN|DK2","23.07.2023 08:00 - 23.07.2023 09:00 (UTC)","5","n/e","n/e","n/e","48","75","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","123","45","574","163"
"BZN|DK2","23.07.2023 09:00 - 23.07.2023 10:00 (UTC)","5","n/e","n/e","n/e","48","75","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","155","45","535","173"
"BZN|DK2","23.07.2023 10:00 - 23.07.2023 11:00 (UTC)","5","n/e","n/e","n/e","46","74","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","166","44","440","168"
"BZN|DK2","23.07.2023 11:00 - 23.07.2023 12:00 (UTC)","5","n/e","n/e","n/e","46","74","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","135","44","579","173"
"BZN|DK2","23.07.2023 12:00 - 23.07.2023 13:00 (UTC)","5","n/e","n/e","n/e","48","76","15","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","n/e","132","45","509","181"
