"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"BZN|DK1","12.12.2024 02:00 - 12.12.2024 03:00 (UTC)","379","n/e","n/e","n/e","285","571","15","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","66","56","21"
"BZN|DK1","12.12.2024 03:00 - 12.12.2024 04:00 (UTC)","409","n/e","n/e","n/e","289","622","15","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","66","41","13"
"BZN|DK1","12.12.2024 04:00 - 12.12.2024 05:00 (UTC)","482","n/e","n/e","n/e","344","656","17","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","79","24","10"
"BZN|DK1","12.12.2024 05:00 - 12.12.2024 06:00 (UTC)","610","n/e","n/e","n/e","390","684","20","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","3","1","109","18","9"
"BZN|DK1","12.12.2024 06:00 - 12.12.2024 07:00 (UTC)","734","n/e","n/e","n/e","437","676","21","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","4","1","112","11","13"
"BZN|DK1","12.12.2024 07:00 - 12.12.2024 08:00 (UTC)","754","n/e","n/e","n/e","453","694","22","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","4","2","114","11","23"
"BZN|DK1","12.12.2024 08:00 - 12.12.2024 09:00 (UTC)","751","n/e","n/e","n/e","498","704","25","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","5","15","120","12","32"
"BZN|DK1","12.12.2024 09:00 - 12.12.2024 10:00 (UTC)","737","n/e","n/e","n/e","444","700","23","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","4","55","115","16","43"
"BZN|DK1","12.12.2024 10:00 - 12.12.2024 11:00 (UTC)","715","n/e","n/e","n/e","431","690","20","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","4","75","114","31","39"
"BZN|DK1","12.12.2024 11:00 - 12.12.2024 12:00 (UTC)","695","n/e","n/e","n/e","430","699","20","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","4","83","115","32","37"
"BZN|DK1","12.12.2024 12:00 - 12.12.2024 13:00 (UTC)","702","n/e","n/e","n/e","420","693","19","n/e","n/e","n/e","n/e","n/e","2","n/e","n/e","n/e","n/e","4","67","115","27","39"
