"Time (UTC)","BZN|DE-LU > BZN|DK1 [MW]","BZN|DK1 > BZN|DE-LU [MW]"
"03.01.2024 07:30 - 03.01.2024 07:45","2080","0"
"03.01.2024 07:45 - 03.01.2024 08:00","2061","0"
"03.01.2024 08:00 - 03.01.2024 08:15","2237","0"
"03.01.2024 08:15 - 03.01.2024 08:30","2261","0"
"03.01.2024 08:30 - 03.01.2024 08:45","2282","0"
"03.01.2024 08:45 - 03.01.2024 09:00","2248","0"
"03.01.2024 09:00 - 03.01.2024 09:15","2227","0"
"03.01.2024 09:15 - 03.01.2024 09:30","2297","0"
"03.01.2024 09:30 - 03.01.2024 09:45","2392","0"
"03.01.2024 09:45 - 03.01.2024 10:00","2413","0"
"03.01.2024 10:00 - 03.01.2024 10:15","2405","0"
"03.01.2024 10:15 - 03.01.2024 10:30","2522","0"
"03.01.2024 10:30 - 03.01.2024 10:45","2505","0"
"03.01.2024 10:45 - 03.01.2024 11:00","2408","0"
"03.01.2024 11:00 - 03.01.2024 11:15","2330","0"
"03.01.2024 11:15 - 03.01.2024 11:30","2349","0"
"03.01.2024 11:30 - 03.01.2024 11:45","2541","0"
"03.01.2024 11:45 - 03.01.2024 12:00","2551","0"
"03.01.2024 12:00 - 03.01.2024 12:15","2458","0"
"03.01.2024 12:15 - 03.01.2024 12:30","2484","0"
"03.01.2024 12:30 - 03.01.2024 12:45","2473","0"
"03.01.2024 12:45 - 03.01.2024 13:00","2338","0"
"03.01.2024 13:00 - 03.01.2024 13:15","2186","0"
"03.01.2024 13:15 - 03.01.2024 13:30","2014","0"
"03.01.2024 13:30 - 03.01.2024 13:45","2034","0"
"03.01.2024 13:45 - 03.01.2024 14:00","1962","0"
"03.01.2024 14:00 - 03.01.2024 14:15","1764","0"
"03.01.2024 14:15 - 03.01.2024 14:30","1611","0"
"03.01.2024 14:30 - 03.01.2024 14:45","1524","0"
"03.01.2024 14:45 - 03.01.2024 15:00","1498","0"
"03.01.2024 15:00 - 03.01.2024 15:15","1464","0"
"03.01.2024 15:15 - 03.01.2024 15:30","1458","0"
"03.01.2024 15:30 - 03.01.2024 15:45","1472","0"
"03.01.2024 15:45 - 03.01.2024 16:00","1285","0"
"03.01.2024 16:00 - 03.01.2024 16:15","696","0"
"03.01.2024 16:15 - 03.01.2024 16:30","522","0"
"03.01.2024 16:30 - 03.01.2024 16:45","552","0"
"03.01.2024 16:45 - 03.01.2024 17:00","402","0"
"03.01.2024 17:00 - 03.01.2024 17:15","144","0"
"03.01.2024 17:15 - 03.01.2024 17:30","10","0"
"03.01.2024 17:30 - 03.01.2024 17:45","0","22"
"03.01.2024 17:45 - 03.01.2024 18:00","9","0"
"03.01.2024 18:00 - 03.01.2024 18:15","195","0"
"03.01.2024 18:15 - 03.01.2024 18:30","297","0"
"03.01.2024 18:30 - 03.01.2024 18:45","275","0"
"03.01.2024 18:45 - 03.01.2024 19:00","289","0"
"03.01.2024 19:00 - 03.01.2024 19:15","328","0"
"03.01.2024 19:15 - 03.01.2024 19:30","368","0"
"03.01.2024 19:30 - 03.01.2024 19:45","449","0"
"03.01.2024 19:45 - 03.01.2024 20:00","697","0"
"03.01.2024 20:00 - 03.01.2024 20:15","836","0"
"03.01.2024 20:15 - 03.01.2024 20:30","979","0"
"03.01.2024 20:30 - 03.01.2024 20:45","978","0"
"03.01.2024 20:45 - 03.01.2024 21:00","977","0"
"03.01.2024 21:00 - 03.01.2024 21:15","989","0"
"03.01.2024 21:15 - 03.01.2024 21:30","942","0"
"03.01.2024 21:30 - 03.01.2024 21:45","954","0"
"03.01.2024 21:45 - 03.01.2024 22:00","1112","0"
"03.01.2024 22:00 - 03.01.2024 22:15","1407","0"
"03.01.2024 22:15 - 03.01.2024 22:30","1554","0"
"03.01.2024 22:30 - 03.01.2024 22:45","1517","0"
"03.01.2024 22:45 - 03.01.2024 23:00","1496","0"
"03.01.2024 23:00 - 03.01.2024 23:15","1255","0"
"03.01.2024 23:15 - 03.01.2024 23:30","1301","0"
"03.01.2024 23:30 - 03.01.2024 23:45","1295","0"
"03.01.2024 23:45 - 04.01.2024 00:00","1310","0"
"04.01.2024 00:00 - 04.01.2024 00:15","1136","0"
"04.01.2024 00:15 - 04.01.2024 00:30","1151","0"
"04.01.2024 00:30 - 04.01.2024 00:45","1183","0"
"04.01.2024 00:45 - 04.01.2024 01:00","1280","0"
"04.01.2024 01:00 - 04.01.2024 01:15","1510","0"
"04.01.2024 01:15 - 04.01.2024 01:30","1630","0"
"04.01.2024 01:30 - 04.01.2024 01:45","1645","0"
"04.01.2024 01:45 - 04.01.2024 02:00","1660","0"
"04.01.2024 02:00 - 04.01.2024 02:15","1680","0"
"04.01.2024 02:15 - 04.01.2024 02:30","1733","0"
"04.01.2024 02:30 - 04.01.2024 02:45","1759","0"
"04.01.2024 02:45 - 04.01.2024 03:00","1768","0"
"04.01.2024 03:00 - 04.01.2024 03:15","1803","0"
"04.01.2024 03:15 - 04.01.2024 03:30","1763","0"
"04.01.2024 03:30 - 04.01.2024 03:45","1799","0"
"04.01.2024 03:45 - 04.01.2024 04:00","1675","0"
"04.01.2024 04:00 - 04.01.2024 04:15","1456","0"
"04.01.2024 04:15 - 04.01.2024 04:30","1357","0"
"04.01.2024 04:30 - 04.01.2024 04:45","1362","0"
"04.01.2024 04:45 - 04.01.2024 05:00","1157","0"
"04.01.2024 05:00 - 04.01.2024 05:15","675","0"
"04.01.2024 05:15 - 04.01.2024 05:30","381","0"
"04.01.2024 05:30 - 04.01.2024 05:45","434","0"
"04.01.2024 05:45 - 04.01.2024 06:00","356","0"
"04.01.2024 06:00 - 04.01.2024 06:15","570","0"
"04.01.2024 06:15 - 04.01.2024 06:30","491","0"
"04.01.2024 06:30 - 04.01.2024 06:45","484","0"
"04.01.2024 06:45 - 04.01.2024 07:00","605","0"
"04.01.2024 07:00 - 04.01.2024 07:15","484","0"
"04.01.2024 07:15 - 04.01.2024 07:30","604","0"
"04.01.2024 07:30 - 04.01.2024 07:45","636","0"
"04.01.2024 07:45 - 04.01.2024 08:00","738","0"
"04.01.2024 08:00 - 04.01.2024 08:15","776","0"
"04.01.2024 08:15 - 04.01.2024 08:30","860","0"
"04.01.2024 08:30 - 04.01.2024 08:45","946","0"
"04.01.2024 08:45 - 04.01.2024 09:00","881","0"
"04.01.2024 09:00 - 04.01.2024 09:15","821","0"
"04.01.2024 09:15 - 04.01.2024 09:30","837","0"
"04.01.2024 09:30 - 04.01.2024 09:45","844","0"
"04.01.2024 09:45 - 04.01.2024 10:00","789","0"
"04.01.2024 10:00 - 04.01.2024 10:15","807","0"
"04.01.2024 10:15 - 04.01.2024 10:30","952","0"
"04.01.2024 10:30 - 04.01.2024 10:45","1030","0"
"04.01.2024 10:45 - 04.01.2024 11:00","1052","0"
"04.01.2024 11:00 - 04.01.2024 11:15","897","0"
"04.01.2024 11:15 - 04.01.2024 11:30","956","0"
"04.01.2024 11:30 - 04.01.2024 11:45","1091","0"
"04.01.2024 11:45 - 04.01.2024 12:00","1213","0"
"04.01.2024 12:00 - 04.01.2024 12:15","1780","0"
"04.01.2024 12:15 - 04.01.2024 12:30","1844","0"
"04.01.2024 12:30 - 04.01.2024 12:45","1922","0"
"04.01.2024 12:45 - 04.01.2024 13:00","1815","0"
"04.01.2024 13:00 - 04.01.2024 13:15","1004","0"
"04.01.2024 13:15 - 04.01.2024 13:30","867","0"
"04.01.2024 13:30 - 04.01.2024 13:45","883","0"
"04.01.2024 13:45 - 04.01.2024 14:00","947","0"
"04.01.2024 14:00 - 04.01.2024 14:15","636","0"
"04.01.2024 14:15 - 04.01.2024 14:30","669","0"
"04.01.2024 14:30 - 04.01.2024 14:45","666","0"
"04.01.2024 14:45 - 04.01.2024 15:00","732","0"
"04.01.2024 15:00 - 04.01.2024 15:15","546","0"
"04.01.2024 15:15 - 04.01.2024 15:30","687","0"
"04.01.2024 15:30 - 04.01.2024 15:45","720","0"
"04.01.2024 15:45 - 04.01.2024 16:00","843","0"
"04.01.2024 16:00 - 04.01.2024 16:15","1410","0"
"04.01.2024 16:15 - 04.01.2024 16:30","1518","0"
"04.01.2024 16:30 - 04.01.2024 16:45","1538","0"
"04.01.2024 16:45 - 04.01.2024 17:00","1416","0"
"04.01.2024 17:00 - 04.01.2024 17:15","852","0"
"04.01.2024 17:15 - 04.01.2024 17:30","687","0"
"04.01.2024 17:30 - 04.01.2024 17:45","625","0"
"04.01.2024 17:45 - 04.01.2024 18:00","443","0"
"04.01.2024 18:00 - 04.01.2024 18:15","0","331"
"04.01.2024 18:15 - 04.01.2024 18:30","0","474"
"04.01.2024 18:30 - 04.01.2024 18:45","0","511"
"04.01.2024 18:45 - 04.01.2024 19:00","0","629"
"04.01.2024 19:00 - 04.01.2024 19:15","0","324"
"04.01.2024 19:15 - 04.01.2024 19:30","0","510"
"04.01.2024 19:30 - 04.01.2024 19:45","0","479"
"04.01.2024 19:45 - 04.01.2024 20:00","0","482"
"04.01.2024 20:00 - 04.01.2024 20:15","0","744"
"04.01.2024 20:15 - 04.01.2024 20:30","0","992"
"04.01.2024 20:30 - 04.01.2024 20:45","0","997"
"04.01.2024 20:45 - 04.01.2024 21:00","0","977"
"04.01.2024 21:00 - 04.01.2024 21:15","0","1318"
"04.01.2024 21:15 - 04.01.2024 21:30","0","1511"
"04.01.2024 21:30 - 04.01.2024 21:45","0","1269"
"04.01.2024 21:45 - 04.01.2024 22:00","0","1481"
"04.01.2024 22:00 - 04.01.2024 22:15","0","1738"
"04.01.2024 22:15 - 04.01.2024 22:30","0","1861"
"04.01.2024 22:30 - 04.01.2024 22:45","0","1878"
"04.01.2024 22:45 - 04.01.2024 23:00","0","1538"
"04.01.2024 23:00 - 04.01.2024 23:15","0","518"
"04.01.2024 23:15 - 04.01.2024 23:30","0","143"
"04.01.2024 23:30 - 04.01.2024 23:45","0","146"
"04.01.2024 23:45 - 05.01.2024 00:00","92","0"
"05.01.2024 00:00 - 05.01.2024 00:15","683","0"
"05.01.2024 00:15 - 05.01.2024 00:30","926","0"
"05.01.2024 00:30 - 05.01.2024 00:45","928","0"
"05.01.2024 00:45 - 05.01.2024 01:00","1016","0"
"05.01.2024 01:00 - 05.01.2024 01:15","1405","0"
"05.01.2024 01:15 - 05.01.2024 01:30","1538","0"
"05.01.2024 01:30 - 05.01.2024 01:45","1539","0"
"05.01.2024 01:45 - 05.01.2024 02:00","1452","0"
"05.01.2024 02:00 - 05.01.2024 02:15","1317","0"
"05.01.2024 02:15 - 05.01.2024 02:30","1236","0"
"05.01.2024 02:30 - 05.01.2024 02:45","1188","0"
"05.01.2024 02:45 - 05.01.2024 03:00","1006","0"
"05.01.2024 03:00 - 05.01.2024 03:15","738","0"
"05.01.2024 03:15 - 05.01.2024 03:30","562","0"
"05.01.2024 03:30 - 05.01.2024 03:45","727","0"
"05.01.2024 03:45 - 05.01.2024 04:00","558","0"
"05.01.2024 04:00 - 05.01.2024 04:15","50","0"
"05.01.2024 04:15 - 05.01.2024 04:30","0","49"
"05.01.2024 04:30 - 05.01.2024 04:45","212","0"
"05.01.2024 04:45 - 05.01.2024 05:00","144","0"
"05.01.2024 05:00 - 05.01.2024 05:15","0","198"
"05.01.2024 05:15 - 05.01.2024 05:30","0","220"
"05.01.2024 05:30 - 05.01.2024 05:45","0","195"
"05.01.2024 05:45 - 05.01.2024 06:00","0","280"
"05.01.2024 06:00 - 05.01.2024 06:15","427","0"
"05.01.2024 06:15 - 05.01.2024 06:30","360","0"
"05.01.2024 06:30 - 05.01.2024 06:45","358","0"
"05.01.2024 06:45 - 05.01.2024 07:00","280","0"
"05.01.2024 07:00 - 05.01.2024 07:15","294","0"
"05.01.2024 07:15 - 05.01.2024 07:30","296","0"
"05.01.2024 07:30 - 05.01.2024 07:45","352","0"
"05.01.2024 07:45 - 05.01.2024 08:00","391","0"
"05.01.2024 08:00 - 05.01.2024 08:15","786","0"
"05.01.2024 08:15 - 05.01.2024 08:30","789","0"
"05.01.2024 08:30 - 05.01.2024 08:45","802","0"
"05.01.2024 08:45 - 05.01.2024 09:00","831","0"
"05.01.2024 09:00 - 05.01.2024 09:15","1026","0"
"05.01.2024 09:15 - 05.01.2024 09:30","676","0"
"05.01.2024 09:30 - 05.01.2024 09:45","542","0"
"05.01.2024 09:45 - 05.01.2024 10:00","543","0"
"05.01.2024 10:00 - 05.01.2024 10:15","791","0"
"05.01.2024 10:15 - 05.01.2024 10:30","697","0"
"05.01.2024 10:30 - 05.01.2024 10:45","669","0"
"05.01.2024 10:45 - 05.01.2024 11:00","784","0"
"05.01.2024 11:00 - 05.01.2024 11:15","1226","0"
"05.01.2024 11:15 - 05.01.2024 11:30","1335","0"
"05.01.2024 11:30 - 05.01.2024 11:45","1284","0"
"05.01.2024 11:45 - 05.01.2024 12:00","1229","0"
"05.01.2024 12:00 - 05.01.2024 12:15","1159","0"
"05.01.2024 12:15 - 05.01.2024 12:30","1094","0"
"05.01.2024 12:30 - 05.01.2024 12:45","1070","0"
"05.01.2024 12:45 - 05.01.2024 13:00","1047","0"
"05.01.2024 13:00 - 05.01.2024 13:15","901","0"
"05.01.2024 13:15 - 05.01.2024 13:30","923","0"
"05.01.2024 13:30 - 05.01.2024 13:45","826","0"
"05.01.2024 13:45 - 05.01.2024 14:00","722","0"
"05.01.2024 14:00 - 05.01.2024 14:15","356","0"
"05.01.2024 14:15 - 05.01.2024 14:30","255","0"
"05.01.2024 14:30 - 05.01.2024 14:45","452","0"
"05.01.2024 14:45 - 05.01.2024 15:00","511","0"
"05.01.2024 15:00 - 05.01.2024 15:15","531","0"
"05.01.2024 15:15 - 05.01.2024 15:30","500","0"
"05.01.2024 15:30 - 05.01.2024 15:45","551","0"
"05.01.2024 15:45 - 05.01.2024 16:00","556","0"
"05.01.2024 16:00 - 05.01.2024 16:15","1002","0"
"05.01.2024 16:15 - 05.01.2024 16:30","1080","0"
"05.01.2024 16:30 - 05.01.2024 16:45","1148","0"
